content,score,thumbsUpCount,reviewCreatedVersion,at
"Excellent customer service, quick refund",1,22,9,7/7/2024 22:00
"Great app experience, smooth checkout",5,20,8.8,7/18/2024 13:00
App keeps crashing on iPhone,4,18,8.8,7/25/2024 4:00
Delivery was delayed by 5 days,5,47,9,7/1/2024 5:00
"Excellent customer service, quick refund",3,18,9,7/22/2024 19:00
Return process is horrible,5,35,9,7/14/2024 17:00
"Average product, nothing special",3,28,8.7,6/22/2024 16:00
"Excellent customer service, quick refund",1,17,8.8,6/1/2024 9:00
App keeps crashing on iPhone,5,1,8.7,7/11/2024 23:00
جودة ممتازة,1,0,8.7,6/16/2024 17:00
"Great app experience, smooth checkout",3,46,9,6/29/2024 9:00
App keeps crashing on iPhone,5,4,8.7,6/25/2024 7:00
App keeps crashing on iPhone,5,19,9,6/7/2024 7:00
"Average product, nothing special",4,10,8.8,6/30/2024 23:00
Price is too high for this quality,4,41,9,7/15/2024 16:00
Delivery was delayed by 5 days,3,1,8.7,7/20/2024 1:00
"Worst experience ever, item arrived broken",3,2,8.7,7/6/2024 18:00
السعر مرتفع,3,22,9,7/25/2024 20:00
Price is too high for this quality,4,11,9,6/3/2024 1:00
"Worst experience ever, item arrived broken",4,19,8.7,6/28/2024 15:00
Delivery was delayed by 5 days,5,4,8.8,6/23/2024 2:00
Love the quality and fast delivery,5,36,8.8,7/16/2024 3:00
Return process is horrible,1,37,9,7/20/2024 14:00
Price is too high for this quality,4,29,8.8,7/22/2024 1:00
"Stylish collection, will buy again",1,8,8.7,7/6/2024 16:00
Love the quality and fast delivery,4,33,9,6/7/2024 1:00
Return process is horrible,3,43,8.7,7/9/2024 2:00
"Average product, nothing special",5,34,8.7,7/12/2024 8:00
جودة ممتازة,3,21,8.8,6/11/2024 1:00
"Great app experience, smooth checkout",1,43,9,6/25/2024 4:00
"Stylish collection, will buy again",2,23,9,6/29/2024 14:00
"Average product, nothing special",4,16,8.8,6/21/2024 2:00
